CSQ Name,CSQ Name (Contact Service Queue Activity ),Date,Interval Start,aban/tot,asl/presented,Avg Abandon Per Day,Avg Handle Time,Avg Speed of Answer,Avg Time To Abandon,Calls Abandoned,Calls Abandoned (Contact Service Queue Activity ),Calls Abandoned < Service Level,Calls Handled,Calls Handled (Contact Service Queue Activity ),Calls Handled < Service Level,Calls Handled By Other,Calls Presented,Calls Presented (Contact Service Queue Activity ),Max Abandon Per Day,Max Handle Time,Max Queue Time,Max Time To Abandon,Service Level (sec)
CSC,CSC,8/3/2020,z7:00:00 A,0,1,10,312,52,122,0,320,0,1,3812,1,178,1,4311,54,3171,1584,1584,30
CSC,CSC,8/3/2020,z7:30:00 A,0,0.714285714,10,312,52,122,0,320,0,6,3812,5,178,7,4311,54,3171,1584,1584,30
CSC,CSC,8/3/2020,z8:00:00 A,0,0.9,10,312,52,122,0,320,0,10,3812,9,178,10,4311,54,3171,1584,1584,30
CodeOps,CodeOps,8/3/2020,z8:00:00 A,0,1,1.72,810,14,36,0,55,0,1,997,1,7,1,1070,38,14477,732,732,30
CustSvc,CustSvc,8/3/2020,z8:00:00 A,0,1,1.22,258,12,23,0,39,0,2,1407,2,12,2,1458,11,2970,688,170,30
ICCU,ICCU,8/3/2020,z8:00:00 A,0,1,1.09,370,16,13,0,35,0,4,271,4,8,4,315,7,3955,476,142,30
Member,Member,8/3/2020,z8:00:00 A,0,1,0.5,180,16,188,0,16,0,1,842,1,20,1,878,3,1470,905,905,30
eMedia,eMedia,8/3/2020,z8:00:00 A,0,1,1.38,442,44,99,0,44,0,1,205,1,11,1,260,18,3415,1498,1264,30
CSC,CSC,8/3/2020,z8:30:00 A,0,0.444444444,10,312,52,122,0,320,0,8,3812,4,178,9,4311,54,3171,1584,1584,30
CodeOps,CodeOps,8/3/2020,z8:30:00 A,0,1,1.72,810,14,36,0,55,0,2,997,2,7,2,1070,38,14477,732,732,30
CustSvc,CustSvc,8/3/2020,z8:30:00 A,0,1,1.22,258,12,23,0,39,0,1,1407,1,12,1,1458,11,2970,688,170,30
ES,ES,8/3/2020,z8:30:00 A,0,1,0.06,344,8,114,0,2,0,1,78,1,1,1,81,1,1246,213,213,30
ICCU,ICCU,8/3/2020,z8:30:00 A,0,1,1.09,370,16,13,0,35,0,2,271,2,8,2,315,7,3955,476,142,30
Member,Member,8/3/2020,z8:30:00 A,0,0.5,0.5,180,16,188,0,16,0,2,842,1,20,2,878,3,1470,905,905,30
eMedia,eMedia,8/3/2020,z8:30:00 A,0,1,1.38,442,44,99,0,44,0,1,205,1,11,1,260,18,3415,1498,1264,30
CSC,CSC,8/3/2020,z9:00:00 A,0,0.666666667,10,312,52,122,0,320,0,12,3812,8,178,12,4311,54,3171,1584,1584,30
CodeOps,CodeOps,8/3/2020,z9:00:00 A,0,1,1.72,810,14,36,0,55,0,1,997,1,7,1,1070,38,14477,732,732,30
CustSvc,CustSvc,8/3/2020,z9:00:00 A,0.111111111,0.6,1.22,258,12,23,1,39,1,9,1407,6,12,10,1458,11,2970,688,170,30
ICCU,ICCU,8/3/2020,z9:00:00 A,0,1,1.09,370,16,13,0,35,0,1,271,1,8,1,315,7,3955,476,142,30
Member,Member,8/3/2020,z9:00:00 A,0,1,0.5,180,16,188,0,16,0,3,842,3,20,3,878,3,1470,905,905,30
CSC,CSC,8/3/2020,z9:30:00 A,0.333333333,0.416666667,10,312,52,122,3,320,1,9,3812,5,178,12,4311,54,3171,1584,1584,30
CustSvc,CustSvc,8/3/2020,z9:30:00 A,0,1,1.22,258,12,23,0,39,0,3,1407,3,12,3,1458,11,2970,688,170,30
ICCU,ICCU,8/3/2020,z9:30:00 A,0,1,1.09,370,16,13,0,35,0,1,271,1,8,1,315,7,3955,476,142,30
Member,Member,8/3/2020,z9:30:00 A,0,1,0.5,180,16,188,0,16,0,2,842,2,20,2,878,3,1470,905,905,30
CSC,CSC,8/3/2020,z10:00:00,0,1,10,312,52,122,0,320,0,6,3812,6,178,6,4311,54,3171,1584,1584,30
CodeOps,CodeOps,8/3/2020,z10:00:00,0,0.875,1.72,810,14,36,0,55,0,8,997,7,7,8,1070,38,14477,732,732,30
CustSvc,CustSvc,8/3/2020,z10:00:00,0,1,1.22,258,12,23,0,39,0,4,1407,4,12,4,1458,11,2970,688,170,30
Member,Member,8/3/2020,z10:00:00,0,1,0.5,180,16,188,0,16,0,2,842,2,20,2,878,3,1470,905,905,30
PlanReview,PlanReview,8/3/2020,z10:00:00,0,1,0.03,414,8,13,0,1,0,1,15,1,0,1,16,1,1320,22,13,30
CSC,CSC,8/3/2020,z10:30:00,0,1,10,312,52,122,0,320,0,10,3812,10,178,10,4311,54,3171,1584,1584,30
CodeOps,CodeOps,8/3/2020,z10:30:00,0,1,1.72,810,14,36,0,55,0,2,997,2,7,2,1070,38,14477,732,732,30
CustSvc,CustSvc,8/3/2020,z10:30:00,0,1,1.22,258,12,23,0,39,0,6,1407,6,12,6,1458,11,2970,688,170,30
IAS,IAS,8/3/2020,z10:30:00,0,1,0.19,164,35,78,0,6,0,1,110,1,3,1,119,2,1382,938,272,30
Member,Member,8/3/2020,z10:30:00,0,1,0.5,180,16,188,0,16,0,2,842,2,20,2,878,3,1470,905,905,30
eMedia,eMedia,8/3/2020,z10:30:00,0,1,1.38,442,44,99,0,44,0,1,205,1,11,1,260,18,3415,1498,1264,30
ACCT,ACCT,8/3/2020,z11:00:00,0,1,0.31,188,10,28,0,10,0,2,120,2,1,2,131,4,1291,121,121,30
CSC,CSC,8/3/2020,z11:00:00,0.047619048,0.863636364,10,312,52,122,1,320,0,21,3812,19,178,22,4311,54,3171,1584,1584,30
CodeOps,CodeOps,8/3/2020,z11:00:00,1,0.5,1.72,810,14,36,1,55,1,1,997,1,7,2,1070,38,14477,732,732,30
CustSvc,CustSvc,8/3/2020,z11:00:00,0,1,1.22,258,12,23,0,39,0,8,1407,8,12,8,1458,11,2970,688,170,30
ICCU,ICCU,8/3/2020,z11:00:00,0,0.5,1.09,370,16,13,0,35,0,1,271,1,8,2,315,7,3955,476,142,30
Member,Member,8/3/2020,z11:00:00,0,0.666666667,0.5,180,16,188,0,16,0,3,842,2,20,3,878,3,1470,905,905,30
eMedia,eMedia,8/3/2020,z11:00:00,0,0.5,1.38,442,44,99,0,44,0,1,205,1,11,2,260,18,3415,1498,1264,30
CSC,CSC,8/3/2020,z11:30:00,0,0.666666667,10,312,52,122,0,320,0,8,3812,6,178,9,4311,54,3171,1584,1584,30
CodeOps,CodeOps,8/3/2020,z11:30:00,0,1,1.72,810,14,36,0,55,0,3,997,3,7,3,1070,38,14477,732,732,30
CustSvc,CustSvc,8/3/2020,z11:30:00,0,1,1.22,258,12,23,0,39,0,5,1407,5,12,5,1458,11,2970,688,170,30
ICCU,ICCU,8/3/2020,z11:30:00,0,1,1.09,370,16,13,0,35,0,1,271,1,8,1,315,7,3955,476,142,30
eMedia,eMedia,8/3/2020,z11:30:00,0,1,1.38,442,44,99,0,44,0,1,205,1,11,1,260,18,3415,1498,1264,30
ACCT,ACCT,8/3/2020,z12:00:00,0,1,0.31,188,10,28,0,10,0,1,120,1,1,1,131,4,1291,121,121,30
CSC,CSC,8/3/2020,z12:00:00,0.142857143,0.75,10,312,52,122,1,320,1,7,3812,6,178,8,4311,54,3171,1584,1584,30
CodeOps,CodeOps,8/3/2020,z12:00:00,0,1,1.72,810,14,36,0,55,0,3,997,3,7,3,1070,38,14477,732,732,30
CustSvc,CustSvc,8/3/2020,z12:00:00,0,1,1.22,258,12,23,0,39,0,5,1407,5,12,5,1458,11,2970,688,170,30
ICCU,ICCU,8/3/2020,z12:00:00,0,1,1.09,370,16,13,0,35,0,2,271,2,8,2,315,7,3955,476,142,30
Member,Member,8/3/2020,z12:00:00,0,1,0.5,180,16,188,0,16,0,2,842,2,20,2,878,3,1470,905,905,30
eMedia,eMedia,8/3/2020,z12:00:00,0,1,1.38,442,44,99,0,44,0,1,205,1,11,1,260,18,3415,1498,1264,30
CSC,CSC,8/3/2020,z12:30:00,0.222222222,0.25,10,312,52,122,2,320,0,9,3812,3,178,12,4311,54,3171,1584,1584,30
CodeOps,CodeOps,8/3/2020,z12:30:00,0,1,1.72,810,14,36,0,55,0,2,997,2,7,2,1070,38,14477,732,732,30
CustSvc,CustSvc,8/3/2020,z12:30:00,0,1,1.22,258,12,23,0,39,0,5,1407,5,12,5,1458,11,2970,688,170,30
Member,Member,8/3/2020,z12:30:00,0,0.5,0.5,180,16,188,0,16,0,1,842,1,20,2,878,3,1470,905,905,30
ACCT,ACCT,8/3/2020,z1:00:00 P,,0,0.31,188,10,28,1,10,1,0,120,0,1,1,131,4,1291,121,121,30
CSC,CSC,8/3/2020,z1:00:00 P,0,0.928571429,10,312,52,122,0,320,0,14,3812,13,178,14,4311,54,3171,1584,1584,30
CodeOps,CodeOps,8/3/2020,z1:00:00 P,0,1,1.72,810,14,36,0,55,0,4,997,4,7,4,1070,38,14477,732,732,30
CustSvc,CustSvc,8/3/2020,z1:00:00 P,0,1,1.22,258,12,23,0,39,0,8,1407,8,12,8,1458,11,2970,688,170,30
ES,ES,8/3/2020,z1:00:00 P,0,1,0.06,344,8,114,0,2,0,1,78,1,1,1,81,1,1246,213,213,30
IAS,IAS,8/3/2020,z1:00:00 P,0,1,0.19,164,35,78,0,6,0,2,110,2,3,2,119,2,1382,938,272,30
Member,Member,8/3/2020,z1:00:00 P,0,1,0.5,180,16,188,0,16,0,4,842,4,20,4,878,3,1470,905,905,30
eMedia,eMedia,8/3/2020,z1:00:00 P,0,1,1.38,442,44,99,0,44,0,1,205,1,11,1,260,18,3415,1498,1264,30
CSC,CSC,8/3/2020,z1:30:00 P,0.166666667,0.857142857,10,312,52,122,1,320,1,6,3812,6,178,7,4311,54,3171,1584,1584,30
CodeOps,CodeOps,8/3/2020,z1:30:00 P,0,1,1.72,810,14,36,0,55,0,1,997,1,7,1,1070,38,14477,732,732,30
CustSvc,CustSvc,8/3/2020,z1:30:00 P,0,1,1.22,258,12,23,0,39,0,3,1407,3,12,3,1458,11,2970,688,170,30
CSC,CSC,8/3/2020,z2:00:00 P,0.272727273,0.285714286,10,312,52,122,3,320,1,11,3812,4,178,14,4311,54,3171,1584,1584,30
CodeOps,CodeOps,8/3/2020,z2:00:00 P,0,1,1.72,810,14,36,0,55,0,4,997,4,7,4,1070,38,14477,732,732,30
